Common_Name,Symbol,Scientific_Name_x,Scientific_Name_y,Species,Category,Family,Family_Common_Name,xOrder,SubClass,Class,SubDivision,Division,SuperDivision,SubKingdom,Kingdom,Duration,Growth_Habit,Growth_Rate,Height_Mature_feet,Lifespan,Toxicity,Temperature_Minimum_F,Bloom_Period,Fruit_Seed_Period_Begin,Fruit_Seed_Period_End,Fruit_Seed_Abundance
Bailey's sedge,CABA7,Carex baileyi Britton,Carex baileyi,baileyi,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,2.1,Moderate,None,-33,Late Spring,Summer,Summer,Low
Bebb's sedge,CABE2,Carex bebbii Olney ex Fernald,Carex bebbii,bebbii,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,3.0,Long,None,-38,Late Spring,Summer,Summer,Low
southwestern showy sedge,CABE3,Carex bella L.H. Bailey,Carex bella,bella,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,2.0,Long,None,-18,Late Spring,Spring,Summer,Low
Bicknell's sedge,CABI3,Carex bicknellii Britton,Carex bicknellii,bicknellii,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,3.4,Long,None,-38,Late Spring,Summer,Summer,Low
Bigelow's sedge,CABI5,Carex bigelowii Torr. ex Schwein.,Carex bigelowii,bigelowii,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,0.4,Long,None,-43,Mid Summer,Summer,Fall,Low
eastern woodland sedge,CABL,Carex blanda Dewey,Carex blanda,blanda,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,2.0,Moderate,None,-28,Spring,Spring,Summer,Low
shorthair reedgrass,CABR,Calamagrostis breweri Thurb.,Calamagrostis breweri,breweri,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,5.0,Long,None,-28,Early Summer,Summer,Summer,Low
Brewer's bittercress,CABRB,Cardamine breweri S. Watson var. breweri,Cardamine breweri var. breweri,breweri,Dicot,Brassicaceae,Mustard family,Capparales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Moderate,1.8,Moderate,None,-18,Late Spring,Spring,Summer,High
bulbous bittercress,CABU3,"Cardamine bulbosa (Schreb. ex Muhl.) Britton, Sterns & Poggenb.",Cardamine bulbosa,bulbosa,Dicot,Brassicaceae,Mustard family,Capparales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Rapid,1.4,Moderate,None,-33,Mid Spring,Spring,Spring,High
Bush's sedge,CABU5,Carex bushii Mack.,Carex bushii,bushii,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,2.0,Moderate,None,-23,Mid Spring,Spring,Summer,Low
Carolina fanwort,CACA,Cabomba caroliniana A. Gray,Cabomba caroliniana,caroliniana,Dicot,Cabombaceae,Water-shield family,Nymphaeales,Magnoliidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Rapid,,Moderate,None,-23,Indeterminate,Spring,Fall,Low
silvery sedge,CACA11,Carex canescens L.,Carex canescens,canescens,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,2.0,Long,None,-33,Late Spring,Summer,Summer,Low
hair-like sedge,CACA12,Carex capillaris L.,Carex capillaris,capillaris,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,1.7,Moderate,None,-43,Late Spring,Summer,Summer,Low
American hornbeam,CACA18,Carpinus caroliniana Walter,Carpinus caroliniana,caroliniana,Dicot,Betulaceae,Birch family,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Slow,30,Short,None,-34,Mid Spring,Summer,Fall,Medium
pigeonpea,CACA27,Cajanus cajan (L.) Millsp.,Cajanus cajan,cajan,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Subshrub, Shrub",Moderate,10,Short,None,31,Indeterminate,Year Round,Year Round,Medium
bluejoint,CACA4,Calamagrostis canadensis (Michx.) P. Beauv.,Calamagrostis canadensis,canadensis,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,4.9,Long,None,-33,Late Spring,Summer,Fall,Medium
oval-leaf sedge,CACE,Carex cephalophora Muhl. ex Willd.,Carex cephalophora,cephalophora,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,2.6,Moderate,None,-33,Late Spring,Summer,Summer,Low
bitternut hickory,CACO15,Carya cordiformis (Wangenh.) K. Koch,Carya cordiformis,cordiformis,Dicot,Juglandaceae,Walnut family,Juglandales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Slow,75,Moderate,None,-47,Mid Spring,Summer,Fall,Medium
longhair sedge,CACO8,Carex comosa Boott,Carex comosa,comosa,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,5.0,Long,None,-28,Mid Summer,Summer,Summer,Low
crested sedge,CACR7,Carex cristatella Britton,Carex cristatella,cristatella,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,3.0,Long,None,-33,Late Spring,Summer,Summer,Low
American chestnut,CADE12,Castanea dentata (Marshall) Borkh.,Castanea dentata,dentata,Dicot,Fagaceae,Beech family,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Rapid,115,Long,None,-33,Early Summer,Summer,Fall,Medium
white edge sedge,CADE5,Carex debilis Michx.,Carex debilis,debilis,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,3.0,Long,None,-13,Late Spring,Summer,Summer,Low
cypressknee sedge,CADE6,Carex decomposita Muhl.,Carex decomposita,decomposita,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Rapid,4.5,Long,None,-13,Late Spring,Summer,Summer,Low
Dewey sedge,CADE9,Carex deweyana Schwein.,Carex deweyana,deweyana,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,3.8,Long,None,-33,Late Spring,Spring,Summer,Low
lesser panicled sedge,CADI4,Carex diandra Schrank,Carex diandra,diandra,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,3.0,Long,None,-33,Late Spring,Summer,Summer,Low
softleaf sedge,CADI6,Carex disperma Dewey,Carex disperma,disperma,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,2.0,Moderate,None,-38,Late Spring,Summer,Summer,Low
Douglas' sedge,CADO2,Carex douglasii Boott,Carex douglasii,douglasii,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,1.5,Long,None,-33,Late Spring,Summer,Summer,Low
star sedge,CAEC,Carex echinata Murray,Carex echinata,echinata,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,1.5,Moderate,None,-38,Late Spring,Spring,Summer,Low
fairyduster,CAER,Calliandra eriophylla Benth.,Calliandra eriophylla,eriophylla,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Subshrub, Shrub",Moderate,3.0,Moderate,None,28,Early Spring,Summer,Fall,Medium
false grama,CAER2,Cathestecum erectum Vasey & Hack.,Cathestecum erectum,erectum,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,1.0,Moderate,None,7,Mid Summer,Summer,Fall,Low
shorthair sedge,CAEX4,Carex exserta Mack.,Carex exserta,exserta,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,1.0,Short,None,-28,Late Spring,Summer,Summer,Low
threadleaf sedge,CAFI,Carex filifolia Nutt.,Carex filifolia,filifolia,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,1.2,Long,None,-38,Late Spring,Spring,Summer,Low
thinfruit sedge,CAFL3,Carex flaccosperma Dewey,Carex flaccosperma,flaccosperma,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,1.0,Long,None,-8,Late Spring,Spring,Summer,Low
Frank's sedge,CAFR3,Carex frankii Kunth,Carex frankii,frankii,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,2.0,Long,None,-23,Late Spring,Summer,Summer,Low
Geyer's sedge,CAGE2,Carex geyeri Boott,Carex geyeri,geyeri,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,1.5,Moderate,None,-28,Late Spring,Spring,Summer,Low
bird-of-paradise shrub,CAGI,Caesalpinia gilliesii (Wall. ex Hook.) Wall. ex D. Dietr.,Caesalpinia gilliesii,gilliesii,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub, Vine",Slow,35,Long,None,27,Early Spring,Summer,Summer,High
pignut hickory,CAGL8,Carya glabra (Mill.) Sweet,Carya glabra,glabra,Dicot,Juglandaceae,Walnut family,Juglandales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Slow,80,Moderate,None,-30,Mid Spring,Summer,Fall,Medium
graceful sedge,CAGR2,Carex gracillima Schwein.,Carex gracillima,gracillima,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,3.0,Long,None,-33,Late Spring,Spring,Summer,Low
limestone meadow sedge,CAGR3,Carex granularis Muhl. ex Willd.,Carex granularis,granularis,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,2.5,Long,None,-33,Mid Spring,Spring,Summer,Low
Gray's sedge,CAGR5,Carex grayi Carey,Carex grayi,grayi,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,3.0,Long,None,-33,Late Spring,Spring,Fall,Low
Hall's sedge,CAHA2,Carex halliana L.H. Bailey,Carex halliana,halliana,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,2.5,Moderate,None,-33,Late Spring,Spring,Summer,Low
Henderson's sedge,CAHE7,Carex hendersonii L.H. Bailey,Carex hendersonii,hendersonii,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,3.0,Moderate,None,-8,Late Spring,Summer,Summer,Low
harsh Indian paintbrush,CAHI9,Castilleja hispida Benth.,Castilleja hispida,hispida,Dicot,Scrophulariaceae,Figwort family,Scrophulariales,Asteridae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Subshrub, Forb/herb",Rapid,1.5,Short,None,-22,Mid Spring,Summer,Fall,High
shoreline sedge,CAHY3,Carex hyalinolepis Steud.,Carex hyalinolepis,hyalinolepis,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,4.0,Long,None,-28,Late Spring,Spring,Summer,Low
pecan,CAIL2,Carya illinoinensis (Wangenh.) K. Koch,Carya illinoinensis,illinoinensis,Dicot,Juglandaceae,Walnut family,Juglandales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Slow,120,Long,None,-21,Early Spring,Summer,Fall,High
inland sedge,CAIN11,Carex interior L.H. Bailey,Carex interior,interior,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,1.5,Moderate,None,-38,Mid Spring,Spring,Summer,Low
greater bladder sedge,CAIN12,Carex intumescens Rudge,Carex intumescens,intumescens,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,3.0,Moderate,None,-33,Late Spring,Summer,Fall,Low
Alexandrian laurel,CAIN4,Calophyllum inophyllum L.,Calophyllum inophyllum,inophyllum,Dicot,Clusiaceae,Mangosteen family,Theales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Slow,40,Moderate,Slight,40,,Summer,Winter,Medium
cypress swamp sedge,CAJO2,Carex joorii L.H. Bailey,Carex joorii,joorii,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,4.5,Long,None,-3,Mid Summer,Summer,Fall,Low
hairy sedge,CALA16,Carex lacustris Willd.,Carex lacustris,lacustris,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Rapid,5.0,Long,None,-28,Late Spring,Summer,Summer,Low
shellbark hickory,CALA21,Carya laciniosa (Michx. f.) G. Don,Carya laciniosa,laciniosa,Dicot,Juglandaceae,Walnut family,Juglandales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Slow,100,Long,None,-22,Mid Spring,Summer,Fall,Low
bristlystalked sedge,CALE10,Carex leptalea Wahlenb.,Carex leptalea,leptalea,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,1.5,Moderate,None,-33,Late Spring,Summer,Summer,Low
nerveless woodland sedge,CALE11,Carex leptonervia (Fernald) Fernald,Carex leptonervia,leptonervia,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,2.0,Moderate,None,-33,Late Spring,Spring,Summer,Low
white marsh marigold,CALE4,Caltha leptosepala DC.,Caltha leptosepala,leptosepala,Dicot,Ranunculaceae,Buttercup family,Ranunculales,Magnoliidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Moderate,1.0,Moderate,Slight,-33,Late Spring,Summer,Summer,Low
lakeshore sedge,CALE8,Carex lenticularis Michx.,Carex lenticularis,lenticularis,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,1.6,Long,None,-38,Late Spring,Summer,Summer,Low
Kellogg's sedge,CALEL3,Carex lenticularis Michx. var. lipocarpa (T. Holm) L.A. Standl.,Carex lenticularis var. lipocarpa,lenticularis,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,3.0,Long,None,-33,Late Spring,Summer,Summer,Low
mud sedge,CALI7,Carex limosa L.,Carex limosa,limosa,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,1.8,Long,None,-33,Late Spring,Spring,Summer,Low
prairie sandreed,CALO,Calamovilfa longifolia (Hook.) Scribn.,Calamovilfa longifolia,longifolia,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,4.5,Moderate,None,-38,Late Summer,Spring,Fall,Medium
woodrush sedge,CALU7,Carex luzulina Olney,Carex luzulina,luzulina,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,2.0,Long,None,-33,Late Spring,Summer,Summer,Low
Mariposa sedge,CAMA13,Carex mariposana L.H. Bailey ex Mack.,Carex mariposana,mariposana,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,2.0,Moderate,None,-13,Spring,Spring,Summer,Low
Mertens' sedge,CAME6,Carex mertensii Prescott ex Bong.,Carex mertensii,mertensii,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,3.5,Short,None,-28,Late Spring,Spring,Summer,Low
smallwing sedge,CAMI7,Carex microptera Mack.,Carex microptera,microptera,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,2.0,Long,None,-33,Late Spring,Summer,Summer,Low
troublesome sedge,CAMO11,Carex molesta Mack. ex Bright,Carex molesta,molesta,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,3.0,Long,None,-38,Late Spring,Summer,Summer,Low
Chinese chestnut,CAMO83,Castanea mollissima Blume,Castanea mollissima,mollissima,Dicot,Fagaceae,Beech family,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Rapid,50,Short,None,-20,Mid Spring,Summer,Fall,Medium
Muskingum sedge,CAMU9,Carex muskingumensis Schwein.,Carex muskingumensis,muskingumensis,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,3.0,Moderate,None,-33,Late Spring,Summer,Fall,Low
Nebraska sedge,CANE2,Carex nebrascensis Dewey,Carex nebrascensis,nebrascensis,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,3.0,Long,None,-38,Late Spring,Summer,Fall,Medium
greater straw sedge,CANO,Carex normalis Mack.,Carex normalis,normalis,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Rapid,5.0,Long,None,-33,Late Spring,Summer,Summer,Low
slough sedge,CAOB3,Carex obnupta L.H. Bailey,Carex obnupta,obnupta,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Rapid,3.0,Moderate,None,-3,Mid Spring,Spring,Summer,Medium
little western bittercress,CAOL,Cardamine oligosperma Nutt.,Cardamine oligosperma,oligosperma,Dicot,Brassicaceae,Mustard family,Capparales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,"Annual, Biennial, Perennial",Forb/herb,Rapid,1.7,Short,None,-23,Early Spring,Spring,Summer,High
chamisso sedge,CAPA14,Carex pachystachya Cham. ex Steud.,Carex pachystachya,pachystachya,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,3.5,Moderate,None,-38,Late Spring,Spring,Summer,Low
Pennsylvania bittercress,CAPE3,Cardamine pensylvanica Muhl. ex Willd.,Cardamine pensylvanica,pensylvanica,Dicot,Brassicaceae,Mustard family,Capparales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,"Annual, Biennial, Perennial",Forb/herb,Rapid,1.5,Short,None,-33,Early Spring,Spring,Summer,High
variable sedge,CAPO4,Carex polymorpha Muhl.,Carex polymorpha,polymorpha,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,2.0,Long,None,-33,Late Spring,Summer,Summer,Low
drooping sedge,CAPR12,Carex prasina Wahlenb.,Carex prasina,prasina,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,2.3,Moderate,None,-28,Late Spring,Spring,Summer,Low
clustered field sedge,CAPR5,Carex praegracilis W. Boott,Carex praegracilis,praegracilis,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,2.0,Long,None,-38,Late Spring,Summer,Summer,Low
necklace sedge,CAPR9,Carex projecta Mack.,Carex projecta,projecta,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,2.0,Moderate,None,-33,Late Spring,Summer,Fall,Low
Raynolds' sedge,CARA6,Carex raynoldsii Dewey,Carex raynoldsii,raynoldsii,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,2.0,Long,None,-33,Late Spring,Summer,Summer,Low
beaked sedge,CARO6,Carex rostrata Stokes,Carex rostrata,rostrata,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,3.5,Moderate,None,-38,Late Spring,Summer,Summer,Low
pinegrass,CARU,Calamagrostis rubescens Buckley,Calamagrostis rubescens,rubescens,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,3.0,Moderate,None,-28,Late Spring,Spring,Summer,Low
rock sedge,CASA10,Carex saxatilis L.,Carex saxatilis,saxatilis,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,2.0,Moderate,None,-28,Late Spring,Summer,Summer,Low
northern singlespike sedge,CASC10,Carex scirpoidea Michx.,Carex scirpoidea,scirpoidea,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,1.5,Long,None,-38,Early Summer,Summer,Summer,Low
broom sedge,CASC11,Carex scoparia Schkuhr ex Willd.,Carex scoparia,scoparia,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,2.5,Long,None,-38,Late Spring,Summer,Summer,Low
mountain sedge,CASC12,Carex scopulorum T. Holm,Carex scopulorum,scopulorum,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,1.3,Moderate,None,-38,Late Spring,Summer,Summer,Low
eastern rough sedge,CASC13,Carex scabrata Schwein.,Carex scabrata,scabrata,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,3.0,Long,None,-33,Late Spring,Spring,Summer,Low
Short's sedge,CASH2,Carex shortiana Dewey,Carex shortiana,shortiana,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,3.0,Long,None,-18,Late Spring,Summer,Summer,Low
analogue sedge,CASI2,Carex simulata Mack.,Carex simulata,simulata,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,1.5,Moderate,None,-38,Late Spring,Summer,Summer,Low
bur-reed sedge,CASP3,Carex sparganioides Muhl. ex Willd.,Carex sparganioides,sparganioides,Monocot,Cyperaceae,Sedge family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,3.0,Long,None,-33,Late Spring,Spring,Summer,Low
